price_paid,address,lat,lon
212500, 63 MEADOW LANE LIVERPOOL L12 5EB,53.437974,-2.907668
212000, 84 MARLOWE DRIVE LIVERPOOL L12 7LT,53.430919,-2.916565
211000, 7 BRIDGE GARDENS LIVERPOOL L12 0LS,53.439532,-2.8798
211000, 45 THINGWALL ROAD LIVERPOOL L15 8GE,53.399731,-2.909406
210250, 27 HEREFORD ROAD LIVERPOOL L15 9HJ,53.392727,-2.912898
210000, 99 NIGHTINGALE ROAD LIVERPOOL L12 0QN,53.451067,-2.878253
210000, 12 TIPTREE CLOSE LIVERPOOL L12 0BW,53.454726,-2.880252
210000, 30 YEW TREE CLOSE LIVERPOOL L12 9JQ,53.429715,-2.881576
210000, 18 ENNIS ROAD LIVERPOOL L12 9JD,53.426643,-2.887811
210000, 18 SIBFORD ROAD LIVERPOOL L12 9ET,53.423063,-2.895705
210000, 11 CARNFORTH CLOSE LIVERPOOL L12 0HP,53.442549,-2.904238
209950, 35 CHARTERHOUSE DRIVE LIVERPOOL L10 8JY,53.479287,-2.9304
209000, 13 DANESCOURT ROAD LIVERPOOL L12 8RB,53.424592,-2.900431
208500, 29 BURGHILL ROAD LIVERPOOL L12 0PP,53.455197,-2.878305
208000, 169 SCORE LANE LIVERPOOL L16 5EE,53.399395,-2.888275
208000, 49 ORCHARD AVENUE LIVERPOOL L14 3NQ,53.40554,-2.893934
207500, 5 ELM CLOSE LIVERPOOL L12 0LJ,53.448852,-2.880896
207450,APARTMENT 39 9 CORNWALLIS STREET LIVERPOOL L1 5EL,53.399718,-2.978097
207000, 2 NIGHTINGALE ROAD LIVERPOOL L12 0QF,53.45376,-2.875903
207000, 169 THINGWALL ROAD LIVERPOOL L15 7JY,53.401676,-2.900211
207000, 43 WOODSORREL ROAD LIVERPOOL L15 6UB,53.395809,-2.908266
206500, 1 CARRVILLE WAY LIVERPOOL L12 0QD,53.449814,-2.871075
206000, 59 WOODSORREL ROAD LIVERPOOL L15 6UB,53.395431,-2.907992
205500, 49 GLADSTONE AVENUE LIVERPOOL L16 2LG,53.40138,-2.870909
205500,APARTMENT 802 31 STRAND STREET LIVERPOOL L1 8LP,53.403277,-2.990794
205050, 40 WAVERTREE GREEN LIVERPOOL L15 6TA,53.397226,-2.914031
205000, 14 THE BRYCEWAY LIVERPOOL L12 3HJ,53.420768,-2.888285
205000, 11 YEW TREE LANE LIVERPOOL L12 9HG,53.425438,-2.888453
205000, 7 SHAWTON ROAD LIVERPOOL L16 6AU,53.40125,-2.896212
205000, 35 COUNTESS PARK LIVERPOOL L11 4UQ,53.44888,-2.898979
205000, 95 MARLOWE DRIVE LIVERPOOL L12 7LS,53.430108,-2.918208
205000, 4 STONEYHURST AVENUE LIVERPOOL L10 2JT,53.48412,-2.945746
205000,APARTMENT 304 3 KENYONS STEPS LIVERPOOL L1 3BH,53.403049,-2.990112
204000, 4 LANCE GROVE LIVERPOOL L15 6UL,53.396242,-2.911496
204000,APARTMENT 305 37 STRAND STREET LIVERPOOL L1 8ND,53.403208,-2.990473
203000, 53 HEBBURN WAY LIVERPOOL L12 0PY,53.449367,-2.869771
203000, 108 LEYFIELD ROAD LIVERPOOL L12 9HB,53.426207,-2.893551
202500, 163 CHILDWALL VALLEY ROAD LIVERPOOL L16 1LA,53.399634,-2.884773
202070, 122 SMITHDOWN ROAD LIVERPOOL L15 2HD,53.395831,-2.940392
200999, COTTAGE 2 NEW HALL LIVERPOOL L10 1LD,53.470763,-2.923893
200000, 44 MANOR VIEW LIVERPOOL L12 0LT,53.442429,-2.877534
200000, 63 YEW TREE LANE LIVERPOOL L12 9HQ,53.42747,-2.885932
200000, 54 WALSINGHAM ROAD LIVERPOOL L16 3NT,53.402838,-2.886126
200000, 13 WYRESCOURT ROAD LIVERPOOL L12 9EP,53.424775,-2.895797
200000, 39 BLACKMOOR DRIVE LIVERPOOL L12 9ED,53.425496,-2.898008
200000, 11 DARLEY DRIVE LIVERPOOL L12 8QP,53.427744,-2.901702
200000, 48 NORSEMAN CLOSE LIVERPOOL L12 5LS,53.436579,-2.907525
200000, 21 WOODSORREL ROAD LIVERPOOL L15 6UB,53.396601,-2.90921
200000, 17 HOLLY MOUNT LIVERPOOL L12 7LG,53.429863,-2.911808
200000, 68 FIELD LANE LIVERPOOL L10 0AG,53.467487,-2.911923
200000, 220 MILL LANE LIVERPOOL L15 8LJ,53.400171,-2.914517
200000, 14 BARNHILL ROAD LIVERPOOL L15 5BE,53.391831,-2.915751
200000, 14 GREENFIELD ROAD LIVERPOOL L13 3BN,53.415097,-2.916013
200000, 12 SANDOWN ROAD LIVERPOOL L15 4JD,53.403457,-2.922361
200000, 105 TAUNTON DRIVE LIVERPOOL L10 8JN,53.479411,-2.925286
200000, 15 SCHOOL LANE LIVERPOOL L10 8JA,53.479466,-2.935895
200000, 161 ALTWAY LIVERPOOL L10 6LA,53.483433,-2.938527
200000, 74 ALTWAY LIVERPOOL L10 2LQ,53.483766,-2.940161
200000, 27 BRIDGEWATER STREET LIVERPOOL L1 0AR,53.396626,-2.981955
200000,APARTMENT 908 31 STRAND STREET LIVERPOOL L1 8LP,53.403277,-2.990794
200000,APARTMENT 1002 31 STRAND STREET LIVERPOOL L1 8LP,53.403277,-2.990794
199000, 114 YEW TREE LANE LIVERPOOL L12 9HW,53.429152,-2.883745
199000, 81 QUEENS DRIVE LIVERPOOL L15 7ND,53.401081,-2.898321
199000, 20 ORFORD STREET LIVERPOOL L15 8HX,53.399623,-2.921164
198500, 2A BASIL ROAD LIVERPOOL L16 5EJ,53.40013,-2.889082
198150, 15 VICTORIA TERRACE LIVERPOOL L15 5BH,53.391138,-2.916184
197000, 30 PETERBOROUGH ROAD LIVERPOOL L15 9HN,53.391783,-2.912752
197000, 10 BANKFIELD COURT LIVERPOOL L13 7HZ,53.425391,-2.921435
197000,APARTMENT 506 31 STRAND STREET LIVERPOOL L1 8LN,53.403277,-2.990794
196000, 44 TULIP ROAD LIVERPOOL L15 6UJ,53.396213,-2.909393
195995, 71 COUNTESS PARK LIVERPOOL L11 4UH,53.447616,-2.897939
195000, 9 WOODVALE ROAD LIVERPOOL L12 0PE,53.452908,-2.878272
195000, 10 MINTON CLOSE LIVERPOOL L12 0SN,53.451075,-2.879995
195000, 12 TUPELO CLOSE LIVERPOOL L12 0BP,53.455424,-2.880701
195000, 77 BURGHILL ROAD LIVERPOOL L12 0BS,53.456177,-2.881221
195000, 5 DURSTON ROAD LIVERPOOL L16 5EH,53.401745,-2.894858
195000, 62 BURFORD ROAD LIVERPOOL L16 6AQ,53.404066,-2.895897
195000, 22 - 24 QUEENS DRIVE LIVERPOOL L15 7NE,53.40459,-2.900171
195000, 74 CHURCH ROAD LIVERPOOL L15 9EQ,53.393591,-2.914994
195000, 7 WESTDALE VIEW LIVERPOOL L15 8JD,53.400444,-2.922911
